day,month,hour,minute,load
1,1,14.0,0.0,65.8
1,1,14.0,15.0,69.7
1,1,14.0,30.0,69.22
1,1,14.0,45.0,68.55
1,1,15.0,0.0,68.84
1,1,15.0,15.0,68.75
1,1,15.0,30.0,69.29
1,1,15.0,45.0,69.0
1,1,16.0,0.0,67.96
1,1,16.0,15.0,63.0
1,1,16.0,30.0,65.63
1,1,16.0,45.0,62.99
1,1,17.0,0.0,62.91
1,1,17.0,15.0,62.98
1,1,17.0,30.0,62.95
1,1,17.0,45.0,63.38
1,1,18.0,0.0,63.79
1,1,18.0,15.0,64.7
1,1,18.0,30.0,70.4
1,1,18.0,45.0,71.09
1,1,19.0,0.0,76.09
1,1,19.0,15.0,74.98
1,1,19.0,30.0,75.07
1,1,19.0,45.0,74.72
1,1,20.0,0.0,74.24
1,1,20.0,15.0,73.22
1,1,20.0,30.0,73.02
1,1,20.0,45.0,72.44
1,1,21.0,0.0,72.46
1,1,21.0,15.0,68.07
1,1,21.0,30.0,67.99
1,1,21.0,45.0,67.8
1,1,22.0,0.0,67.43
1,1,22.0,15.0,69.36
1,1,22.0,30.0,69.14
1,1,22.0,45.0,68.81
1,1,23.0,0.0,64.66
1,1,23.0,15.0,64.36
1,1,23.0,30.0,64.26
1,1,23.0,45.0,64.19
2,1,0.0,0.0,63.28
2,1,0.0,15.0,58.76
2,1,0.0,30.0,58.4
2,1,0.0,45.0,58.0
2,1,1.0,0.0,57.82
2,1,1.0,15.0,58.27
2,1,1.0,30.0,53.79
